dteday,season,year,month,hours,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category
2011-01-02,Spring,2011,Jan,7,0,Sunday,Misty,0.4,0.4091,76.0,0.19399999999999998,0,1,1,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,8,0,Sunday,Light_rainsnow,0.4,0.4091,71.0,0.2239,0,8,8,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,9,0,Sunday,Misty,0.38,0.3939,76.0,0.2239,1,19,20,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,10,0,Sunday,Misty,0.36,0.3485,81.0,0.2239,7,46,53,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,11,0,Sunday,Misty,0.36,0.3333,71.0,0.2537,16,54,70,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,12,0,Sunday,Misty,0.36,0.3333,66.0,0.2985,20,73,93,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,13,0,Sunday,Misty,0.36,0.3485,66.0,0.1343,11,64,75,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,14,0,Sunday,Light_rainsnow,0.36,0.3485,76.0,0.19399999999999998,4,55,59,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,15,0,Sunday,Light_rainsnow,0.34,0.3333,81.0,0.1642,19,55,74,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,16,0,Sunday,Light_rainsnow,0.34,0.3333,71.0,0.1642,9,67,76,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,17,0,Sunday,Clear,0.34,0.3333,56.99999999999999,0.19399999999999998,7,58,65,weekend,Ideal
2011-01-02,Spring,2011,Jan,18,0,Sunday,Misty,0.36,0.3333,46.0,0.3284,10,43,53,weekend,Ideal
2011-01-02,Spring,2011,Jan,19,0,Sunday,Clear,0.32,0.2879,42.0,0.4478,1,29,30,weekend,Terlalu kering
2011-01-02,Spring,2011,Jan,20,0,Sunday,Clear,0.3,0.2727,39.0,0.3582,5,17,22,weekend,Terlalu kering
2011-01-02,Spring,2011,Jan,21,0,Sunday,Clear,0.26,0.2273,44.0,0.3284,11,20,31,weekend,Terlalu kering
2011-01-02,Spring,2011,Jan,22,0,Sunday,Clear,0.24,0.2121,44.0,0.2985,0,9,9,weekend,Terlalu kering
2011-01-02,Spring,2011,Jan,23,0,Sunday,Clear,0.22,0.2273,47.0,0.1642,0,8,8,weekend,Ideal
2011-01-03,Spring,2011,Jan,0,0,Monday,Clear,0.22,0.19699999999999998,44.0,0.3582,0,5,5,workingday,Terlalu kering
2011-01-03,Spring,2011,Jan,1,0,Monday,Clear,0.2,0.1667,44.0,0.4179,0,2,2,workingday,Terlalu kering
2011-01-03,Spring,2011,Jan,4,0,Monday,Clear,0.16,0.1364,47.0,0.3881,0,1,1,workingday,Ideal
2011-01-03,Spring,2011,Jan,5,0,Monday,Clear,0.16,0.1364,47.0,0.2836,0,3,3,workingday,Ideal
2011-01-03,Spring,2011,Jan,6,0,Monday,Clear,0.14,0.1061,50.0,0.3881,0,30,30,workingday,Ideal
2011-01-03,Spring,2011,Jan,7,0,Monday,Clear,0.14,0.1364,50.0,0.19399999999999998,1,63,64,workingday,Ideal
2011-01-03,Spring,2011,Jan,8,0,Monday,Clear,0.14,0.1212,50.0,0.2836,1,153,154,workingday,Ideal
2011-01-03,Spring,2011,Jan,9,0,Monday,Clear,0.16,0.1364,43.0,0.3881,7,81,88,workingday,Terlalu kering
2011-01-03,Spring,2011,Jan,10,0,Monday,Clear,0.18,0.1667,43.0,0.2537,11,33,44,workingday,Terlalu kering
2011-01-03,Spring,2011,Jan,11,0,Monday,Clear,0.2,0.1818,40.0,0.3284,10,41,51,workingday,Terlalu kering
2011-01-03,Spring,2011,Jan,12,0,Monday,Clear,0.22,0.2121,35.0,0.2985,13,48,61,workingday,Terlalu kering
2011-01-03,Spring,2011,Jan,13,0,Monday,Clear,0.24,0.2121,35.0,0.2836,8,53,61,workingday,Terlalu kering
2011-01-03,Spring,2011,Jan,14,0,Monday,Clear,0.26,0.2424,30.0,0.2836,11,66,77,workingday,Terlalu kering
2011-01-03,Spring,2011,Jan,15,0,Monday,Clear,0.26,0.2424,30.0,0.2537,14,58,72,workingday,Terlalu kering
2011-01-03,Spring,2011,Jan,16,0,Monday,Clear,0.26,0.2424,30.0,0.2537,9,67,76,workingday,Terlalu kering
2011-01-03,Spring,2011,Jan,17,0,Monday,Clear,0.24,0.2273,30.0,0.2239,11,146,157,workingday,Terlalu kering
2011-01-03,Spring,2011,Jan,18,0,Monday,Clear,0.24,0.2576,32.0,0.1045,9,148,157,workingday,Terlalu kering
2011-01-03,Spring,2011,Jan,19,0,Monday,Clear,0.2,0.2576,47.0,0.0,8,102,110,workingday,Ideal
2011-01-03,Spring,2011,Jan,20,0,Monday,Clear,0.2,0.2273,47.0,0.1045,3,49,52,workingday,Ideal
2011-01-03,Spring,2011,Jan,21,0,Monday,Clear,0.18,0.19699999999999998,64.0,0.1343,3,49,52,workingday,Ideal
2011-01-03,Spring,2011,Jan,22,0,Monday,Clear,0.14,0.1515,69.0,0.1343,0,20,20,workingday,Terlalu Lembab
2011-01-03,Spring,2011,Jan,23,0,Monday,Clear,0.18,0.2121,55.00000000000001,0.1045,1,11,12,workingday,Ideal
2011-01-04,Spring,2011,Jan,0,0,Monday,Clear,0.16,0.1818,55.00000000000001,0.1045,0,5,5,workingday,Ideal
2011-01-04,Spring,2011,Jan,1,0,Monday,Clear,0.16,0.1818,59.0,0.1045,0,2,2,workingday,Ideal
2011-01-04,Spring,2011,Jan,2,0,Monday,Clear,0.14,0.1515,63.0,0.1343,0,1,1,workingday,Ideal
2011-01-04,Spring,2011,Jan,4,0,Monday,Clear,0.14,0.1818,63.0,0.0896,0,2,2,workingday,Ideal
2011-01-04,Spring,2011,Jan,5,0,Monday,Clear,0.12,0.1515,68.0,0.1045,0,4,4,workingday,Terlalu Lembab
2011-01-04,Spring,2011,Jan,6,0,Monday,Clear,0.12,0.1515,74.0,0.1045,0,36,36,workingday,Terlalu Lembab
2011-01-04,Spring,2011,Jan,7,0,Monday,Clear,0.12,0.1515,74.0,0.1343,2,92,94,workingday,Terlalu Lembab
2011-01-04,Spring,2011,Jan,8,0,Monday,Clear,0.14,0.1515,69.0,0.1642,2,177,179,workingday,Terlalu Lembab
2011-01-04,Spring,2011,Jan,9,0,Monday,Clear,0.16,0.1515,64.0,0.2239,2,98,100,workingday,Ideal
2011-01-04,Spring,2011,Jan,10,0,Monday,Misty,0.16,0.1364,69.0,0.3284,5,37,42,workingday,Terlalu Lembab
2011-01-04,Spring,2011,Jan,11,0,Monday,Clear,0.22,0.2121,51.0,0.2985,7,50,57,workingday,Ideal
2011-01-04,Spring,2011,Jan,12,0,Monday,Clear,0.22,0.2273,51.0,0.1642,12,66,78,workingday,Ideal
2011-01-04,Spring,2011,Jan,13,0,Monday,Clear,0.24,0.2273,56.00000000000001,0.19399999999999998,18,79,97,workingday,Ideal
2011-01-04,Spring,2011,Jan,14,0,Monday,Clear,0.26,0.2576,52.0,0.2239,9,54,63,workingday,Ideal
2011-01-04,Spring,2011,Jan,15,0,Monday,Clear,0.28,0.2727,52.0,0.2537,17,48,65,workingday,Ideal
2011-01-04,Spring,2011,Jan,16,0,Monday,Clear,0.3,0.2879,49.0,0.2537,15,68,83,workingday,Ideal
2011-01-04,Spring,2011,Jan,17,0,Monday,Clear,0.28,0.2727,48.0,0.2239,10,202,212,workingday,Ideal
2011-01-04,Spring,2011,Jan,18,0,Monday,Clear,0.26,0.2576,48.0,0.19399999999999998,3,179,182,workingday,Ideal
2011-01-04,Spring,2011,Jan,19,0,Monday,Clear,0.24,0.2576,48.0,0.1045,2,110,112,workingday,Ideal
2011-01-04,Spring,2011,Jan,20,0,Monday,Clear,0.24,0.2576,48.0,0.1045,1,53,54,workingday,Ideal
2011-01-04,Spring,2011,Jan,21,0,Monday,Clear,0.22,0.2727,64.0,0.0,0,48,48,workingday,Ideal
2011-01-04,Spring,2011,Jan,22,0,Monday,Clear,0.22,0.2576,64.0,0.0896,1,34,35,workingday,Ideal
2011-01-04,Spring,2011,Jan,23,0,Monday,Clear,0.2,0.2273,69.0,0.0896,2,9,11,workingday,Terlalu Lembab
2011-01-05,Spring,2011,Jan,0,0,Monday,Clear,0.2,0.2576,64.0,0.0,0,6,6,workingday,Ideal
2011-01-05,Spring,2011,Jan,1,0,Monday,Clear,0.16,0.19699999999999998,74.0,0.0896,0,6,6,workingday,Terlalu Lembab
2011-01-05,Spring,2011,Jan,2,0,Monday,Clear,0.16,0.19699999999999998,74.0,0.0896,0,2,2,workingday,Terlalu Lembab
2011-01-05,Spring,2011,Jan,4,0,Monday,Clear,0.24,0.2273,48.0,0.2239,0,2,2,workingday,Ideal
2011-01-05,Spring,2011,Jan,5,0,Monday,Clear,0.22,0.2273,47.0,0.1642,0,3,3,workingday,Ideal
2011-01-05,Spring,2011,Jan,6,0,Monday,Clear,0.2,0.19699999999999998,47.0,0.2239,0,33,33,workingday,Ideal
2011-01-05,Spring,2011,Jan,7,0,Monday,Clear,0.18,0.1818,43.0,0.19399999999999998,1,87,88,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,8,0,Monday,Clear,0.2,0.1818,40.0,0.2985,3,192,195,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,9,0,Monday,Clear,0.22,0.19699999999999998,37.0,0.3284,6,109,115,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,10,0,Monday,Clear,0.22,0.19699999999999998,37.0,0.3284,4,53,57,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,11,0,Monday,Clear,0.26,0.2273,33.0,0.3284,12,34,46,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,12,0,Monday,Clear,0.26,0.2273,33.0,0.3284,5,74,79,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,13,0,Monday,Clear,0.28,0.2576,30.0,0.2985,6,65,71,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,14,0,Monday,Clear,0.3,0.2879,28.000000000000004,0.19399999999999998,10,52,62,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,15,0,Monday,Clear,0.3,0.2879,28.000000000000004,0.19399999999999998,7,55,62,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,16,0,Monday,Clear,0.3,0.3182,28.000000000000004,0.0896,4,85,89,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,17,0,Monday,Clear,0.24,0.2273,38.0,0.19399999999999998,4,186,190,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,18,0,Monday,Clear,0.24,0.2424,38.0,0.1343,3,166,169,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,19,0,Monday,Clear,0.24,0.2576,38.0,0.1045,5,127,132,workingday,Terlalu kering
2011-01-05,Spring,2011,Jan,20,0,Monday,Clear,0.22,0.2273,47.0,0.1642,7,82,89,workingday,Ideal
2011-01-05,Spring,2011,Jan,21,0,Monday,Clear,0.2,0.19699999999999998,51.0,0.19399999999999998,3,40,43,workingday,Ideal
2011-01-05,Spring,2011,Jan,22,0,Monday,Clear,0.18,0.19699999999999998,55.00000000000001,0.1343,1,41,42,workingday,Ideal
2011-01-05,Spring,2011,Jan,23,0,Monday,Clear,0.2,0.2576,47.0,0.0,1,18,19,workingday,Ideal
2011-01-06,Spring,2011,Jan,0,0,Monday,Clear,0.18,0.2424,55.00000000000001,0.0,0,11,11,workingday,Ideal
2011-01-06,Spring,2011,Jan,1,0,Monday,Clear,0.16,0.2273,64.0,0.0,0,4,4,workingday,Ideal
2011-01-06,Spring,2011,Jan,2,0,Monday,Clear,0.16,0.2273,64.0,0.0,0,2,2,workingday,Ideal
2011-01-06,Spring,2011,Jan,4,0,Monday,Misty,0.16,0.19699999999999998,64.0,0.0896,0,1,1,workingday,Ideal
2011-01-06,Spring,2011,Jan,5,0,Monday,Misty,0.14,0.1818,69.0,0.0896,0,4,4,workingday,Terlalu Lembab
2011-01-06,Spring,2011,Jan,6,0,Monday,Misty,0.14,0.1667,63.0,0.1045,0,36,36,workingday,Ideal
2011-01-06,Spring,2011,Jan,7,0,Monday,Misty,0.16,0.2273,59.0,0.0,0,95,95,workingday,Ideal
2011-01-06,Spring,2011,Jan,8,0,Monday,Clear,0.16,0.2273,59.0,0.0,3,216,219,workingday,Ideal
2011-01-06,Spring,2011,Jan,9,0,Monday,Misty,0.18,0.2424,51.0,0.0,6,116,122,workingday,Ideal
2011-01-06,Spring,2011,Jan,10,0,Monday,Clear,0.2,0.2576,47.0,0.0,3,42,45,workingday,Ideal
2011-01-06,Spring,2011,Jan,11,0,Monday,Clear,0.22,0.2576,44.0,0.0896,2,57,59,workingday,Terlalu kering
2011-01-06,Spring,2011,Jan,12,0,Monday,Clear,0.26,0.2879,35.0,0.0,6,78,84,workingday,Terlalu kering
2011-01-06,Spring,2011,Jan,13,0,Monday,Clear,0.26,0.2727,35.0,0.1045,12,55,67,workingday,Terlalu kering
2011-01-06,Spring,2011,Jan,14,0,Monday,Clear,0.28,0.2727,36.0,0.1642,11,59,70,workingday,Terlalu kering
2011-01-06,Spring,2011,Jan,15,0,Monday,Clear,0.28,0.2727,36.0,0.0,8,54,62,workingday,Terlalu kering
2011-01-06,Spring,2011,Jan,16,0,Monday,Clear,0.26,0.2576,38.0,0.1642,12,74,86,workingday,Terlalu kering
2011-01-06,Spring,2011,Jan,17,0,Monday,Clear,0.22,0.2273,51.0,0.1642,9,163,172,workingday,Ideal
2011-01-06,Spring,2011,Jan,18,0,Monday,Clear,0.22,0.2273,51.0,0.1343,5,158,163,workingday,Ideal
2011-01-06,Spring,2011,Jan,19,0,Monday,Clear,0.22,0.2576,55.00000000000001,0.0896,3,109,112,workingday,Ideal
2011-01-06,Spring,2011,Jan,20,0,Monday,Clear,0.2,0.2121,51.0,0.1642,3,66,69,workingday,Ideal
2011-01-06,Spring,2011,Jan,21,0,Monday,Misty,0.22,0.2121,55.00000000000001,0.2239,0,48,48,workingday,Ideal
2011-01-06,Spring,2011,Jan,22,0,Monday,Misty,0.22,0.2121,51.0,0.2836,1,51,52,workingday,Ideal
2011-01-06,Spring,2011,Jan,23,0,Monday,Misty,0.2,0.19699999999999998,59.0,0.19399999999999998,4,19,23,workingday,Ideal
2011-01-07,Spring,2011,Jan,0,0,Monday,Misty,0.2,0.19699999999999998,64.0,0.19399999999999998,4,13,17,workingday,Ideal
2011-01-07,Spring,2011,Jan,1,0,Monday,Misty,0.2,0.19699999999999998,69.0,0.2239,2,5,7,workingday,Terlalu Lembab
2011-01-07,Spring,2011,Jan,2,0,Monday,Misty,0.2,0.19699999999999998,69.0,0.2239,0,1,1,workingday,Terlalu Lembab
2011-01-07,Spring,2011,Jan,4,0,Monday,Misty,0.2,0.2121,69.0,0.1343,0,1,1,workingday,Terlalu Lembab
2011-01-07,Spring,2011,Jan,5,0,Monday,Light_rainsnow,0.22,0.2727,55.00000000000001,0.0,0,5,5,workingday,Ideal
2011-01-07,Spring,2011,Jan,6,0,Monday,Misty,0.2,0.2576,69.0,0.0,8,26,34,workingday,Terlalu Lembab
2011-01-07,Spring,2011,Jan,7,0,Monday,Clear,0.2,0.2121,69.0,0.1343,8,76,84,workingday,Terlalu Lembab
2011-01-07,Spring,2011,Jan,8,0,Monday,Clear,0.2,0.19699999999999998,51.0,0.2537,20,190,210,workingday,Ideal
2011-01-07,Spring,2011,Jan,9,0,Monday,Clear,0.2,0.1818,47.0,0.2985,9,125,134,workingday,Ideal
2011-01-07,Spring,2011,Jan,10,0,Monday,Clear,0.22,0.19699999999999998,37.0,0.3284,16,47,63,workingday,Terlalu kering
2011-01-07,Spring,2011,Jan,11,0,Monday,Misty,0.2,0.19699999999999998,40.0,0.2239,19,48,67,workingday,Terlalu kering
2011-01-07,Spring,2011,Jan,12,0,Monday,Misty,0.2,0.19699999999999998,37.0,0.2537,9,50,59,workingday,Terlalu kering
2011-01-07,Spring,2011,Jan,13,0,Monday,Misty,0.2,0.1818,37.0,0.2836,9,64,73,workingday,Terlalu kering
2011-01-07,Spring,2011,Jan,14,0,Monday,Misty,0.2,0.19699999999999998,40.0,0.2537,7,43,50,workingday,Terlalu kering
2011-01-07,Spring,2011,Jan,15,0,Monday,Misty,0.2,0.2121,37.0,0.1642,9,63,72,workingday,Terlalu kering
2011-01-07,Spring,2011,Jan,16,0,Monday,Misty,0.2,0.2121,37.0,0.1642,5,82,87,workingday,Terlalu kering
2011-01-07,Spring,2011,Jan,17,0,Monday,Misty,0.2,0.2576,37.0,0.0,9,178,187,workingday,Terlalu kering
2011-01-07,Spring,2011,Jan,18,0,Monday,Clear,0.2,0.2273,40.0,0.0896,7,116,123,workingday,Terlalu kering
2011-01-07,Spring,2011,Jan,19,0,Monday,Clear,0.16,0.19699999999999998,55.00000000000001,0.0896,3,92,95,workingday,Ideal
2011-01-07,Spring,2011,Jan,20,0,Monday,Clear,0.18,0.2121,47.0,0.1045,1,50,51,workingday,Ideal
2011-01-07,Spring,2011,Jan,21,0,Monday,Clear,0.18,0.19699999999999998,47.0,0.1343,0,39,39,workingday,Ideal
2011-01-07,Spring,2011,Jan,22,0,Monday,Misty,0.18,0.19699999999999998,43.0,0.1642,2,34,36,workingday,Terlalu kering
2011-01-07,Spring,2011,Jan,23,0,Monday,Misty,0.18,0.19699999999999998,51.0,0.1642,1,14,15,workingday,Ideal
2011-01-08,Spring,2011,Jan,0,0,Sunday,Misty,0.18,0.19699999999999998,51.0,0.1642,1,24,25,weekend,Ideal
2011-01-08,Spring,2011,Jan,1,0,Sunday,Misty,0.18,0.2121,55.00000000000001,0.0896,1,15,16,weekend,Ideal
2011-01-08,Spring,2011,Jan,2,0,Sunday,Misty,0.18,0.2424,55.00000000000001,0.0,3,13,16,weekend,Ideal
2011-01-08,Spring,2011,Jan,3,0,Sunday,Light_rainsnow,0.18,0.19699999999999998,55.00000000000001,0.1642,0,7,7,weekend,Ideal
2011-01-08,Spring,2011,Jan,4,0,Sunday,Light_rainsnow,0.18,0.19699999999999998,55.00000000000001,0.1642,0,1,1,weekend,Ideal
2011-01-08,Spring,2011,Jan,5,0,Sunday,Misty,0.16,0.1667,74.0,0.1642,0,5,5,weekend,Terlalu Lembab
2011-01-08,Spring,2011,Jan,6,0,Sunday,Misty,0.16,0.1667,74.0,0.1642,0,2,2,weekend,Terlalu Lembab
2011-01-08,Spring,2011,Jan,7,0,Sunday,Misty,0.16,0.1818,74.0,0.1045,1,8,9,weekend,Terlalu Lembab
2011-01-08,Spring,2011,Jan,8,0,Sunday,Light_rainsnow,0.16,0.1818,93.0,0.1045,0,15,15,weekend,Terlalu Lembab
2011-01-08,Spring,2011,Jan,9,0,Sunday,Light_rainsnow,0.16,0.1818,93.0,0.1045,0,20,20,weekend,Terlalu Lembab
2011-01-08,Spring,2011,Jan,10,0,Sunday,Misty,0.18,0.19699999999999998,80.0,0.1642,5,56,61,weekend,Terlalu Lembab
2011-01-08,Spring,2011,Jan,11,0,Sunday,Misty,0.2,0.1818,69.0,0.3881,2,60,62,weekend,Terlalu Lembab
2011-01-08,Spring,2011,Jan,12,0,Sunday,Misty,0.2,0.1818,59.0,0.3582,8,90,98,weekend,Ideal
2011-01-08,Spring,2011,Jan,13,0,Sunday,Clear,0.2,0.1818,44.0,0.3284,7,95,102,weekend,Terlalu kering
2011-01-08,Spring,2011,Jan,14,0,Sunday,Clear,0.2,0.1667,32.0,0.4925,12,83,95,weekend,Terlalu kering
2011-01-08,Spring,2011,Jan,15,0,Sunday,Clear,0.2,0.1667,32.0,0.4478,5,69,74,weekend,Terlalu kering
2011-01-08,Spring,2011,Jan,16,0,Sunday,Clear,0.18,0.1364,28.999999999999996,0.4478,8,68,76,weekend,Terlalu kering
2011-01-08,Spring,2011,Jan,17,0,Sunday,Clear,0.16,0.1212,37.0,0.5522,5,64,69,weekend,Terlalu kering
2011-01-08,Spring,2011,Jan,18,0,Sunday,Clear,0.14,0.1212,39.0,0.2985,3,52,55,weekend,Terlalu kering
2011-01-08,Spring,2011,Jan,19,0,Sunday,Clear,0.14,0.1212,36.0,0.2537,4,26,30,weekend,Terlalu kering
2011-01-08,Spring,2011,Jan,20,0,Sunday,Clear,0.12,0.1212,36.0,0.2537,0,28,28,weekend,Terlalu kering
2011-01-08,Spring,2011,Jan,21,0,Sunday,Clear,0.12,0.1061,39.0,0.3582,2,35,37,weekend,Terlalu kering
2011-01-08,Spring,2011,Jan,22,0,Sunday,Clear,0.12,0.1061,36.0,0.3881,1,33,34,weekend,Terlalu kering
2011-01-08,Spring,2011,Jan,23,0,Sunday,Clear,0.1,0.0606,39.0,0.4478,0,22,22,weekend,Terlalu kering
2011-01-09,Spring,2011,Jan,0,0,Sunday,Clear,0.1,0.0758,42.0,0.3881,1,24,25,weekend,Terlalu kering
2011-01-09,Spring,2011,Jan,1,0,Sunday,Clear,0.1,0.0606,42.0,0.4627,0,12,12,weekend,Terlalu kering
2011-01-09,Spring,2011,Jan,2,0,Sunday,Clear,0.1,0.0606,46.0,0.4627,0,11,11,weekend,Ideal
2011-01-09,Spring,2011,Jan,3,0,Sunday,Clear,0.1,0.0758,46.0,0.4179,0,4,4,weekend,Ideal
2011-01-09,Spring,2011,Jan,4,0,Sunday,Clear,0.08,0.0909,53.0,0.19399999999999998,0,1,1,weekend,Ideal
2011-01-09,Spring,2011,Jan,5,0,Sunday,Clear,0.08,0.0909,53.0,0.19399999999999998,0,1,1,weekend,Ideal
2011-01-09,Spring,2011,Jan,6,0,Sunday,Clear,0.1,0.0909,49.0,0.2836,0,1,1,weekend,Ideal
2011-01-09,Spring,2011,Jan,7,0,Sunday,Clear,0.08,0.0909,53.0,0.19399999999999998,1,5,6,weekend,Ideal
2011-01-09,Spring,2011,Jan,8,0,Sunday,Clear,0.1,0.0909,49.0,0.2836,0,10,10,weekend,Ideal
2011-01-09,Spring,2011,Jan,9,0,Sunday,Clear,0.12,0.0758,46.0,0.5224,0,19,19,weekend,Ideal
2011-01-09,Spring,2011,Jan,10,0,Sunday,Clear,0.14,0.1061,43.0,0.3881,0,49,49,weekend,Terlalu kering
2011-01-09,Spring,2011,Jan,11,0,Sunday,Clear,0.16,0.1212,40.0,0.5224,2,47,49,weekend,Terlalu kering
2011-01-09,Spring,2011,Jan,12,0,Sunday,Clear,0.18,0.1364,37.0,0.4478,4,79,83,weekend,Terlalu kering
2011-01-09,Spring,2011,Jan,13,0,Sunday,Clear,0.2,0.1667,34.0,0.4478,6,69,75,weekend,Terlalu kering
2011-01-09,Spring,2011,Jan,14,0,Sunday,Clear,0.22,0.1818,32.0,0.4627,8,64,72,weekend,Terlalu kering
2011-01-09,Spring,2011,Jan,15,0,Sunday,Clear,0.22,0.19699999999999998,35.0,0.3582,5,77,82,weekend,Terlalu kering
2011-01-09,Spring,2011,Jan,16,0,Sunday,Clear,0.2,0.1667,34.0,0.4478,13,79,92,weekend,Terlalu kering
2011-01-09,Spring,2011,Jan,17,0,Sunday,Clear,0.18,0.1515,37.0,0.3881,3,59,62,weekend,Terlalu kering
2011-01-09,Spring,2011,Jan,18,0,Sunday,Clear,0.16,0.1364,40.0,0.3284,4,44,48,weekend,Terlalu kering
2011-01-09,Spring,2011,Jan,19,0,Sunday,Clear,0.16,0.1364,43.0,0.3284,1,40,41,weekend,Terlalu kering
