dteday,season,year,month,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category
2011-02-13,Spring,2011,Feb,0,Sunday,Clear,0.31652199999999997,0.324113,45.7391,0.260883,397,1192,1589,weekend,Ideal
2011-02-14,Spring,2011,Feb,0,Monday,Clear,0.415,0.39835,37.583299999999994,0.417908,208,1705,1913,workingday,Terlalu kering
2011-02-15,Spring,2011,Feb,0,Monday,Clear,0.26608699999999996,0.254274,31.434800000000003,0.29137399999999997,140,1675,1815,workingday,Terlalu kering
2011-02-16,Spring,2011,Feb,0,Monday,Clear,0.318261,0.3162,42.3478,0.251791,218,1897,2115,workingday,Terlalu kering
2011-02-17,Spring,2011,Feb,0,Monday,Clear,0.43583299999999997,0.428658,50.5,0.230104,259,2216,2475,workingday,Ideal
2011-02-18,Spring,2011,Feb,0,Monday,Clear,0.521667,0.511983,51.6667,0.264925,579,2348,2927,workingday,Ideal
2011-02-19,Spring,2011,Feb,0,Sunday,Clear,0.399167,0.391404,18.7917,0.507463,532,1103,1635,weekend,Terlalu kering
2011-02-20,Spring,2011,Feb,0,Sunday,Clear,0.285217,0.27733,40.7826,0.223235,639,1173,1812,weekend,Terlalu kering
2011-02-21,Spring,2011,Feb,1,Sunday,Misty,0.303333,0.284075,60.5,0.307846,195,912,1107,weekend,Ideal
2011-02-22,Spring,2011,Feb,0,Monday,Clear,0.182222,0.186033,57.7778,0.195683,74,1376,1450,workingday,Ideal
2011-02-23,Spring,2011,Feb,0,Monday,Clear,0.221739,0.24571700000000002,42.3043,0.094113,139,1778,1917,workingday,Terlalu kering
2011-02-24,Spring,2011,Feb,0,Monday,Misty,0.295652,0.289191,69.7391,0.250496,100,1707,1807,workingday,Terlalu Lembab
2011-02-25,Spring,2011,Feb,0,Monday,Misty,0.364348,0.350461,71.2174,0.346539,120,1341,1461,workingday,Terlalu Lembab
2011-02-26,Spring,2011,Feb,0,Sunday,Clear,0.2825,0.282192,53.7917,0.18657100000000001,424,1545,1969,weekend,Ideal
2011-02-27,Spring,2011,Feb,0,Sunday,Clear,0.343478,0.351109,68.0,0.125248,694,1708,2402,weekend,Terlalu Lembab
2011-02-28,Spring,2011,Feb,0,Monday,Misty,0.407273,0.400118,87.6364,0.289686,81,1365,1446,workingday,Terlalu Lembab
2011-03-01,Spring,2011,Mar,0,Monday,Clear,0.266667,0.263879,53.5,0.216425,137,1714,1851,workingday,Ideal
2011-03-02,Spring,2011,Mar,0,Monday,Clear,0.335,0.320071,44.9583,0.30783299999999997,231,1903,2134,workingday,Terlalu kering
2011-03-03,Spring,2011,Mar,0,Monday,Clear,0.19833299999999998,0.200133,31.833299999999998,0.225754,123,1562,1685,workingday,Terlalu kering
2011-03-04,Spring,2011,Mar,0,Monday,Misty,0.261667,0.255679,61.0417,0.203346,214,1730,1944,workingday,Ideal
2011-03-05,Spring,2011,Mar,0,Sunday,Misty,0.384167,0.378779,78.91669999999999,0.251871,640,1437,2077,weekend,Terlalu Lembab
2011-03-06,Spring,2011,Mar,0,Sunday,Misty,0.37652199999999997,0.366252,94.8261,0.343287,114,491,605,weekend,Terlalu Lembab
2011-03-07,Spring,2011,Mar,0,Monday,Clear,0.261739,0.238461,55.1304,0.341352,244,1628,1872,workingday,Ideal
2011-03-08,Spring,2011,Mar,0,Monday,Clear,0.2925,0.3024,42.0833,0.12065,316,1817,2133,workingday,Terlalu kering
2011-03-09,Spring,2011,Mar,0,Monday,Misty,0.295833,0.286608,77.5417,0.22015,191,1700,1891,workingday,Terlalu Lembab
2011-03-10,Spring,2011,Mar,0,Monday,Light_rainsnow,0.38909099999999996,0.385668,0.0,0.26187699999999997,46,577,623,workingday,Terlalu kering
2011-03-11,Spring,2011,Mar,0,Monday,Misty,0.31652199999999997,0.305,64.95649999999999,0.23296999999999998,247,1730,1977,workingday,Ideal
2011-03-12,Spring,2011,Mar,0,Sunday,Clear,0.329167,0.32575,59.458299999999994,0.220775,724,1408,2132,weekend,Ideal
2011-03-13,Spring,2011,Mar,0,Sunday,Clear,0.384348,0.380091,52.73909999999999,0.270604,982,1435,2417,weekend,Ideal
2011-03-14,Spring,2011,Mar,0,Monday,Clear,0.32521700000000003,0.332,49.695699999999995,0.136926,359,1687,2046,workingday,Ideal
2011-03-15,Spring,2011,Mar,0,Monday,Misty,0.317391,0.318178,65.5652,0.184309,289,1767,2056,workingday,Terlalu Lembab
2011-03-16,Spring,2011,Mar,0,Monday,Misty,0.365217,0.36693000000000003,77.65220000000001,0.20311700000000002,321,1871,2192,workingday,Terlalu Lembab
2011-03-17,Spring,2011,Mar,0,Monday,Clear,0.415,0.410333,60.291700000000006,0.209579,424,2320,2744,workingday,Ideal
2011-03-18,Spring,2011,Mar,0,Monday,Clear,0.54,0.5270090000000001,52.5217,0.231017,884,2355,3239,workingday,Ideal
2011-03-19,Spring,2011,Mar,0,Sunday,Clear,0.4725,0.466525,37.916700000000006,0.368167,1424,1693,3117,weekend,Terlalu kering
2011-03-20,Spring,2011,Mar,0,Sunday,Clear,0.3325,0.32575,47.375,0.20772100000000002,1047,1424,2471,weekend,Ideal
2011-03-21,Summer,2011,Mar,0,Monday,Misty,0.430435,0.409735,73.73910000000001,0.288783,401,1676,2077,workingday,Terlalu Lembab
2011-03-22,Summer,2011,Mar,0,Monday,Clear,0.44166700000000003,0.44064200000000003,62.4583,0.22575,460,2243,2703,workingday,Ideal
2011-03-23,Summer,2011,Mar,0,Monday,Misty,0.346957,0.337939,83.9565,0.23426100000000002,203,1918,2121,workingday,Terlalu Lembab
2011-03-24,Summer,2011,Mar,0,Monday,Misty,0.285,0.270833,80.58330000000001,0.24378699999999998,166,1699,1865,workingday,Terlalu Lembab
2011-03-25,Summer,2011,Mar,0,Monday,Clear,0.264167,0.256312,49.5,0.230725,300,1910,2210,workingday,Ideal
2011-03-26,Summer,2011,Mar,0,Sunday,Clear,0.265833,0.257571,39.4167,0.209571,981,1515,2496,weekend,Terlalu kering
2011-03-27,Summer,2011,Mar,0,Sunday,Misty,0.25304299999999996,0.250339,49.3913,0.1843,472,1221,1693,weekend,Ideal
2011-03-28,Summer,2011,Mar,0,Monday,Clear,0.264348,0.25757399999999997,30.2174,0.212204,222,1806,2028,workingday,Terlalu kering
2011-03-29,Summer,2011,Mar,0,Monday,Clear,0.3025,0.292908,31.416700000000002,0.226996,317,2108,2425,workingday,Terlalu kering
2011-03-30,Summer,2011,Mar,0,Monday,Misty,0.3,0.29735,64.6667,0.17288800000000001,168,1368,1536,workingday,Ideal
2011-03-31,Summer,2011,Mar,0,Monday,Light_rainsnow,0.268333,0.257575,91.8333,0.217646,179,1506,1685,workingday,Terlalu Lembab
2011-04-01,Summer,2011,Apr,0,Monday,Misty,0.3,0.283454,68.625,0.258708,307,1920,2227,workingday,Terlalu Lembab
2011-04-02,Summer,2011,Apr,0,Sunday,Misty,0.315,0.315637,65.375,0.19714600000000002,898,1354,2252,weekend,Terlalu Lembab
2011-04-03,Summer,2011,Apr,0,Sunday,Clear,0.378333,0.378767,48.0,0.182213,1651,1598,3249,weekend,Ideal
2011-04-04,Summer,2011,Apr,0,Monday,Clear,0.573333,0.542929,42.625,0.385571,734,2381,3115,workingday,Terlalu kering
2011-04-05,Summer,2011,Apr,0,Monday,Misty,0.414167,0.39835,64.2083,0.388067,167,1628,1795,workingday,Ideal
2011-04-06,Summer,2011,Apr,0,Monday,Clear,0.390833,0.387608,47.0833,0.263063,413,2395,2808,workingday,Ideal
2011-04-07,Summer,2011,Apr,0,Monday,Clear,0.4375,0.433696,60.291700000000006,0.16231199999999998,571,2570,3141,workingday,Ideal
2011-04-08,Summer,2011,Apr,0,Monday,Misty,0.335833,0.324479,83.625,0.226992,172,1299,1471,workingday,Terlalu Lembab
2011-04-09,Summer,2011,Apr,0,Sunday,Misty,0.3425,0.34152899999999997,87.75,0.13308299999999998,879,1576,2455,weekend,Terlalu Lembab
2011-04-10,Summer,2011,Apr,0,Sunday,Misty,0.426667,0.426737,85.75,0.146767,1188,1707,2895,weekend,Terlalu Lembab
2011-04-11,Summer,2011,Apr,0,Monday,Misty,0.5956520000000001,0.565217,71.6956,0.324474,855,2493,3348,workingday,Terlalu Lembab
2011-04-12,Summer,2011,Apr,0,Monday,Misty,0.5025,0.493054,73.9167,0.274879,257,1777,2034,workingday,Terlalu Lembab
2011-04-13,Summer,2011,Apr,0,Monday,Misty,0.4125,0.417283,81.91669999999999,0.25061700000000003,209,1953,2162,workingday,Terlalu Lembab
2011-04-14,Summer,2011,Apr,0,Monday,Clear,0.4675,0.462742,54.041700000000006,0.1107,529,2738,3267,workingday,Ideal
2011-04-15,Summer,2011,Apr,1,Sunday,Clear,0.446667,0.441913,67.125,0.226375,642,2484,3126,weekend,Terlalu Lembab
2011-04-16,Summer,2011,Apr,0,Sunday,Light_rainsnow,0.43083299999999997,0.425492,88.83330000000001,0.340808,121,674,795,weekend,Terlalu Lembab
2011-04-17,Summer,2011,Apr,0,Sunday,Clear,0.456667,0.445696,47.9583,0.303496,1558,2186,3744,weekend,Ideal
2011-04-18,Summer,2011,Apr,0,Monday,Clear,0.5125,0.503146,54.25,0.16356700000000002,669,2760,3429,workingday,Ideal
2011-04-19,Summer,2011,Apr,0,Monday,Misty,0.505833,0.48925799999999997,66.5833,0.157971,409,2795,3204,workingday,Terlalu Lembab
2011-04-20,Summer,2011,Apr,0,Monday,Clear,0.595,0.564392,61.4167,0.241925,613,3331,3944,workingday,Ideal
2011-04-21,Summer,2011,Apr,0,Monday,Clear,0.459167,0.453892,40.708299999999994,0.325258,745,3444,4189,workingday,Terlalu kering
2011-04-22,Summer,2011,Apr,0,Monday,Misty,0.336667,0.321954,72.9583,0.219521,177,1506,1683,workingday,Terlalu Lembab
2011-04-23,Summer,2011,Apr,0,Sunday,Misty,0.46,0.450121,88.79169999999999,0.230725,1462,2574,4036,weekend,Terlalu Lembab
2011-04-24,Summer,2011,Apr,0,Sunday,Misty,0.581667,0.551763,81.08330000000001,0.192175,1710,2481,4191,weekend,Terlalu Lembab
2011-04-25,Summer,2011,Apr,0,Monday,Clear,0.606667,0.5745,77.6667,0.185333,773,3300,4073,workingday,Terlalu Lembab
2011-04-26,Summer,2011,Apr,0,Monday,Clear,0.631667,0.594083,72.9167,0.3265,678,3722,4400,workingday,Terlalu Lembab
2011-04-27,Summer,2011,Apr,0,Monday,Misty,0.62,0.575142,83.54169999999999,0.3122,547,3325,3872,workingday,Terlalu Lembab
2011-04-28,Summer,2011,Apr,0,Monday,Misty,0.6175,0.578929,70.08330000000001,0.32090799999999997,569,3489,4058,workingday,Terlalu Lembab
2011-04-29,Summer,2011,Apr,0,Monday,Clear,0.51,0.497463,45.7083,0.240063,878,3717,4595,workingday,Ideal
2011-04-30,Summer,2011,Apr,0,Sunday,Clear,0.4725,0.464021,50.3333,0.235075,1965,3347,5312,weekend,Ideal
2011-05-01,Summer,2011,May,0,Sunday,Misty,0.451667,0.448204,76.2083,0.10635399999999999,1138,2213,3351,weekend,Terlalu Lembab
2011-05-02,Summer,2011,May,0,Monday,Misty,0.549167,0.532833,73.0,0.183454,847,3554,4401,workingday,Terlalu Lembab
2011-05-03,Summer,2011,May,0,Monday,Misty,0.616667,0.582079,69.7083,0.342667,603,3848,4451,workingday,Terlalu Lembab
2011-05-04,Summer,2011,May,0,Monday,Misty,0.414167,0.40465,73.70830000000001,0.328996,255,2378,2633,workingday,Terlalu Lembab
2011-05-05,Summer,2011,May,0,Monday,Clear,0.459167,0.441917,44.416700000000006,0.295392,614,3819,4433,workingday,Terlalu kering
2011-05-06,Summer,2011,May,0,Monday,Clear,0.479167,0.474117,59.0,0.228246,894,3714,4608,workingday,Ideal
2011-05-07,Summer,2011,May,0,Sunday,Clear,0.52,0.512621,54.125,0.16045,1612,3102,4714,weekend,Ideal
2011-05-08,Summer,2011,May,0,Sunday,Clear,0.5283329999999999,0.518933,63.1667,0.0746375,1401,2932,4333,weekend,Ideal
2011-05-09,Summer,2011,May,0,Monday,Clear,0.5325,0.525246,58.875,0.17600000000000002,664,3698,4362,workingday,Ideal
2011-05-10,Summer,2011,May,0,Monday,Clear,0.5325,0.522721,48.9167,0.11567100000000001,694,4109,4803,workingday,Ideal
2011-05-11,Summer,2011,May,0,Monday,Clear,0.5425,0.5284,63.29169999999999,0.12064200000000001,550,3632,4182,workingday,Ideal
2011-05-12,Summer,2011,May,0,Monday,Clear,0.535,0.523363,74.75,0.189667,695,4169,4864,workingday,Terlalu Lembab
2011-05-13,Summer,2011,May,0,Monday,Misty,0.5125,0.4943,86.33330000000001,0.179725,692,3413,4105,workingday,Terlalu Lembab
2011-05-14,Summer,2011,May,0,Sunday,Misty,0.520833,0.500629,92.25,0.13495,902,2507,3409,weekend,Terlalu Lembab
2011-05-15,Summer,2011,May,0,Sunday,Misty,0.5625,0.536,86.70830000000001,0.152979,1582,2971,4553,weekend,Terlalu Lembab
2011-05-16,Summer,2011,May,0,Monday,Clear,0.5775,0.550512,78.79169999999999,0.126871,773,3185,3958,workingday,Terlalu Lembab
2011-05-17,Summer,2011,May,0,Monday,Misty,0.561667,0.538529,83.7917,0.277354,678,3445,4123,workingday,Terlalu Lembab
2011-05-18,Summer,2011,May,0,Monday,Misty,0.55,0.527158,87.0,0.201492,536,3319,3855,workingday,Terlalu Lembab
2011-05-19,Summer,2011,May,0,Monday,Misty,0.530833,0.510742,82.9583,0.10821300000000002,735,3840,4575,workingday,Terlalu Lembab
2011-05-20,Summer,2011,May,0,Monday,Clear,0.536667,0.529042,71.9583,0.125013,909,4008,4917,workingday,Terlalu Lembab
2011-05-21,Summer,2011,May,0,Sunday,Clear,0.6025,0.571975,62.6667,0.12065,2258,3547,5805,weekend,Ideal
2011-05-22,Summer,2011,May,0,Sunday,Clear,0.604167,0.5745,74.9583,0.148008,1576,3084,4660,weekend,Terlalu Lembab
2011-05-23,Summer,2011,May,0,Monday,Misty,0.631667,0.590296,81.0,0.233842,836,3438,4274,workingday,Terlalu Lembab
2011-05-24,Summer,2011,May,0,Monday,Misty,0.66,0.604813,74.0833,0.207092,659,3833,4492,workingday,Terlalu Lembab
2011-05-25,Summer,2011,May,0,Monday,Clear,0.660833,0.615542,69.625,0.15423299999999998,740,4238,4978,workingday,Terlalu Lembab
2011-05-26,Summer,2011,May,0,Monday,Clear,0.708333,0.654688,67.75,0.19964200000000001,758,3919,4677,workingday,Terlalu Lembab
2011-05-27,Summer,2011,May,0,Monday,Clear,0.681667,0.637008,65.375,0.240679,871,3808,4679,workingday,Terlalu Lembab
2011-05-28,Summer,2011,May,0,Sunday,Clear,0.655833,0.612379,72.9583,0.23009200000000002,2001,2757,4758,weekend,Terlalu Lembab
2011-05-29,Summer,2011,May,0,Sunday,Clear,0.6675,0.61555,81.875,0.21393800000000002,2355,2433,4788,weekend,Terlalu Lembab
2011-05-30,Summer,2011,May,1,Sunday,Clear,0.733333,0.671092,68.5,0.131225,1549,2549,4098,weekend,Terlalu Lembab
2011-05-31,Summer,2011,May,0,Monday,Clear,0.775,0.725383,63.6667,0.111329,673,3309,3982,workingday,Ideal
2011-06-01,Summer,2011,Jun,0,Monday,Misty,0.764167,0.720967,67.7083,0.207092,513,3461,3974,workingday,Terlalu Lembab
2011-06-02,Summer,2011,Jun,0,Monday,Clear,0.715,0.643942,30.5,0.29228699999999996,736,4232,4968,workingday,Terlalu kering
2011-06-03,Summer,2011,Jun,0,Monday,Clear,0.62,0.587133,35.4167,0.253121,898,4414,5312,workingday,Terlalu kering
2011-06-04,Summer,2011,Jun,0,Sunday,Clear,0.635,0.594696,45.625,0.123142,1869,3473,5342,weekend,Ideal
2011-06-05,Summer,2011,Jun,0,Sunday,Misty,0.648333,0.616804,65.25,0.138692,1685,3221,4906,weekend,Terlalu Lembab
2011-06-06,Summer,2011,Jun,0,Monday,Clear,0.678333,0.621858,60.0,0.121896,673,3875,4548,workingday,Ideal
2011-06-07,Summer,2011,Jun,0,Monday,Clear,0.7075,0.65595,59.791700000000006,0.187808,763,4070,4833,workingday,Ideal
2011-06-08,Summer,2011,Jun,0,Monday,Clear,0.775833,0.727279,62.208299999999994,0.136817,676,3725,4401,workingday,Ideal
2011-06-09,Summer,2011,Jun,0,Monday,Misty,0.808333,0.757579,56.833299999999994,0.149883,563,3352,3915,workingday,Ideal
2011-06-10,Summer,2011,Jun,0,Monday,Clear,0.755,0.703292,60.5,0.14055399999999998,815,3771,4586,workingday,Ideal
2011-06-11,Summer,2011,Jun,0,Sunday,Clear,0.725,0.678038,65.45830000000001,0.15485,1729,3237,4966,weekend,Terlalu Lembab
2011-06-12,Summer,2011,Jun,0,Sunday,Clear,0.6925,0.643325,74.7917,0.16356700000000002,1467,2993,4460,weekend,Terlalu Lembab
2011-06-13,Summer,2011,Jun,0,Monday,Clear,0.635,0.601654,49.4583,0.30535,863,4157,5020,workingday,Ideal
2011-06-14,Summer,2011,Jun,0,Monday,Clear,0.604167,0.591546,50.708299999999994,0.269283,727,4164,4891,workingday,Ideal
2011-06-15,Summer,2011,Jun,0,Monday,Clear,0.626667,0.587754,47.1667,0.16791199999999998,769,4411,5180,workingday,Ideal
2011-06-16,Summer,2011,Jun,0,Monday,Misty,0.628333,0.595346,68.8333,0.20647100000000002,545,3222,3767,workingday,Terlalu Lembab
2011-06-17,Summer,2011,Jun,0,Monday,Clear,0.649167,0.600383,73.5833,0.143029,863,3981,4844,workingday,Terlalu Lembab
2011-06-18,Summer,2011,Jun,0,Sunday,Clear,0.696667,0.643954,67.0417,0.11940799999999999,1807,3312,5119,weekend,Terlalu Lembab
2011-06-19,Summer,2011,Jun,0,Sunday,Misty,0.699167,0.645846,66.6667,0.102,1639,3105,4744,weekend,Terlalu Lembab
2011-06-20,Summer,2011,Jun,0,Monday,Misty,0.635,0.595346,74.625,0.155475,699,3311,4010,workingday,Terlalu Lembab
2011-06-21,Fall,2011,Jun,0,Monday,Misty,0.680833,0.637646,77.0417,0.171025,774,4061,4835,workingday,Terlalu Lembab
2011-06-22,Fall,2011,Jun,0,Monday,Clear,0.733333,0.693829,70.75,0.172262,661,3846,4507,workingday,Terlalu Lembab
2011-06-23,Fall,2011,Jun,0,Monday,Misty,0.728333,0.693833,70.3333,0.238804,746,4044,4790,workingday,Terlalu Lembab
2011-06-24,Fall,2011,Jun,0,Monday,Clear,0.724167,0.656583,57.3333,0.222025,969,4022,4991,workingday,Ideal
2011-06-25,Fall,2011,Jun,0,Sunday,Clear,0.695,0.643313,48.3333,0.209571,1782,3420,5202,weekend,Ideal
2011-06-26,Fall,2011,Jun,0,Sunday,Clear,0.68,0.637629,51.3333,0.09453330000000001,1920,3385,5305,weekend,Ideal
2011-06-27,Fall,2011,Jun,0,Monday,Misty,0.6825,0.637004,65.8333,0.10758800000000002,854,3854,4708,workingday,Terlalu Lembab
2011-06-28,Fall,2011,Jun,0,Monday,Clear,0.744167,0.692558,63.416700000000006,0.144283,732,3916,4648,workingday,Ideal
2011-06-29,Fall,2011,Jun,0,Monday,Clear,0.728333,0.654688,49.7917,0.261821,848,4377,5225,workingday,Ideal
2011-06-30,Fall,2011,Jun,0,Monday,Clear,0.696667,0.637008,43.416700000000006,0.18531199999999998,1027,4488,5515,workingday,Terlalu kering
2011-07-01,Fall,2011,Jul,0,Monday,Clear,0.7225,0.652162,39.625,0.10260799999999999,1246,4116,5362,workingday,Terlalu kering
2011-07-02,Fall,2011,Jul,0,Sunday,Clear,0.738333,0.667308,44.4583,0.11506199999999998,2204,2915,5119,weekend,Terlalu kering
2011-07-03,Fall,2011,Jul,0,Sunday,Misty,0.716667,0.668575,68.25,0.228858,2282,2367,4649,weekend,Terlalu Lembab
2011-07-04,Fall,2011,Jul,1,Sunday,Misty,0.726667,0.665417,63.7917,0.08147919999999999,3065,2978,6043,weekend,Ideal
2011-07-05,Fall,2011,Jul,0,Monday,Clear,0.746667,0.696338,59.0417,0.12625799999999998,1031,3634,4665,workingday,Ideal
2011-07-06,Fall,2011,Jul,0,Monday,Clear,0.72,0.685633,74.33330000000001,0.149883,784,3845,4629,workingday,Terlalu Lembab
2011-07-07,Fall,2011,Jul,0,Monday,Clear,0.75,0.686871,65.125,0.1592,754,3838,4592,workingday,Terlalu Lembab
2011-07-08,Fall,2011,Jul,0,Monday,Misty,0.709167,0.6704829999999999,75.79169999999999,0.225129,692,3348,4040,workingday,Terlalu Lembab
2011-07-09,Fall,2011,Jul,0,Sunday,Clear,0.733333,0.664158,60.9167,0.16791199999999998,1988,3348,5336,weekend,Ideal
2011-07-10,Fall,2011,Jul,0,Sunday,Clear,0.7475,0.690025,57.8333,0.183471,1743,3138,4881,weekend,Ideal
2011-07-11,Fall,2011,Jul,0,Monday,Clear,0.7625,0.729804,63.5833,0.282337,723,3363,4086,workingday,Ideal
2011-07-12,Fall,2011,Jul,0,Monday,Clear,0.794167,0.739275,55.9167,0.200254,662,3596,4258,workingday,Ideal
2011-07-13,Fall,2011,Jul,0,Monday,Clear,0.746667,0.689404,63.1667,0.14613299999999999,748,3594,4342,workingday,Ideal
2011-07-14,Fall,2011,Jul,0,Monday,Clear,0.680833,0.635104,47.625,0.24066700000000002,888,4196,5084,workingday,Ideal
2011-07-15,Fall,2011,Jul,0,Monday,Clear,0.663333,0.624371,59.12500000000001,0.182833,1318,4220,5538,workingday,Ideal
2011-07-16,Fall,2011,Jul,0,Sunday,Clear,0.686667,0.638263,58.5,0.208342,2418,3505,5923,weekend,Ideal
2011-07-17,Fall,2011,Jul,0,Sunday,Clear,0.719167,0.669833,60.4167,0.245033,2006,3296,5302,weekend,Ideal
